20
1001|25/11/2024|101|2|1|0
1002|25/11/2024|103|1|2|0
1003|26/11/2024|102|2|3|0
1004|26/11/2024|105|1|4|0
1005|27/11/2024|108|3|5|0
1006|27/11/2024|104|5|1|0
1007|27/11/2024|106|2|2|0
1008|28/11/2024|107|1|3|0
1009|28/11/2024|109|1|4|0
1010|28/11/2024|110|3|5|0
1011|28/11/2024|101|3|1|0
1012|29/11/2024|102|1|2|0
1013|29/11/2024|103|2|3|0
1014|29/11/2024|104|4|4|0
1015|29/11/2024|105|2|5|0
1016|29/11/2024|106|3|1|0
1017|29/11/2024|107|2|2|0
1018|29/11/2024|108|2|3|0
1019|29/11/2024|109|1|4|0
1020|29/11/2024|110|4|5|0
